product_id,product_name,original_price,category_id,stock,slug,vendor_id,ratings,date_add,brand,product_description
181353,Artificial Garden Fence Wooden House Privacy Fence Simple Installation For Balcony Yard Window Shop Study Decoration,803000.0,249,499,artificial-garden-fence-wooden-house-privacy-fence-simple-installation-for-balcony-yard-window-shop-study-decoration,2,3.5,2024-03-11,No brand,
277326,Cute Dog Shape Imitation Stained Glass Door Hook Window Hanging Pendant Suncatcher For Home Garden Decor Living Room Office Ornament,526000.0,249,987,cute-dog-shape-imitation-stained-glass-door-hook-window-hanging-pendant-suncatcher-for-home-garden-decor-living-room-office-ornament,1,4.0,2024-08-27,No brand,
193266,Moden Waterproof Outdoor Wall Light PIR Motion Sensor Garden Lamp Porch Front Door Black Aluminum Body Indoor Walllight,11015000.0,249,200,moden-waterproof-outdoor-wall-light-pir-motion-sensor-garden-lamp-porch-front-door-black-aluminum-body-indoor-walllight,1,4.14,2024-03-25,Noenname_null,
174133,6Pcs Durable Garden Gnome Wooden Door Eco-Friendly Colorful Fairy Dollhouse Decoration Fairy Tale Door Craft Accessories,705000.0,249,1,6pcs-durable-garden-gnome-wooden-door-eco-friendly-colorful-fairy-dollhouse-decoration-fairy-tale-door-craft-accessories,1,1.0,2024-06-20,No brand,
243083,Garden Watering Filter 1/2 Kitchen Water Filter Car Wash Irrigation Prefilter Aquarium Water Pump Water Filter Air Inlet,1474000.0,249,9990,garden-watering-filter-1/2-kitchen-water-filter-car-wash-irrigation-prefilter-aquarium-water-pump-water-filter-air-inlet,2,5.0,2024-03-02,Sgoohan,
213842,Wild Bird Window Feeder Transparent Plastic Bird Feeder Hanging Peanuts Seed Feeder Garden Station Seed Container,1607000.0,249,128,wild-bird-window-feeder-transparent-plastic-bird-feeder-hanging-peanuts-seed-feeder-garden-station-seed-container,2,4.5,2024-06-14,No brand,
222353,Vintage Watering Can Gold Hot Pot Garden Metal Iron Water Bucket For Watering Plants Flowers Home Decor Dropshipping,595000.0,249,875,vintage-watering-can-gold-hot-pot-garden-metal-iron-water-bucket-for-watering-plants-flowers-home-decor-dropshipping,1,4.22,2024-03-08,No brand,
224499,1/4 Metal Bird Wall Art Sculpture Outdoor Hanging Decoration For Garden/Home Decor,654000.0,249,34,1/4-metal-bird-wall-art-sculpture-outdoor-hanging-decoration-for-garden/home-decor,2,3.62,2024-09-09,No brand,
381686,Large Laden Filing Cabinet Vanity Wood Outdoor Garden Screen Patio Glass Side Cabinet Door Kitchen Armarios Home Furniture,52444000.0,249,70,large-laden-filing-cabinet-vanity-wood-outdoor-garden-screen-patio-glass-side-cabinet-door-kitchen-armarios-home-furniture,2,4.11,2024-04-17,Oein,
139220,Aquarium Decoration Cute Animal Accessories Bookshelf Collective Decort Home Garden Decoration Miniature Resin Craft,526000.0,249,17,aquarium-decoration-cute-animal-accessories-bookshelf-collective-decort-home-garden-decoration-miniature-resin-craft,1,4.25,2024-07-23,Whphous,
